Sp_pepid	Sp_ID	family_id	Type	Compartment
ALY_339541	ALY	ABI3VP1	Genome	NUC
ALY_339639	ALY	RWP-RK	Genome	NUC
ALY_339887	ALY	PHD	Genome	NUC
ALY_340538	ALY	LOB	Genome	NUC
ALY_340623	ALY	NAC	Genome	NUC
ALY_341076	ALY	MYB	Genome	NUC
ALY_341138	ALY	Trihelix	Genome	NUC
ALY_341194	ALY	MYB-related	Genome	NUC
ALY_341554	ALY	Trihelix	Genome	NUC
ALY_342260	ALY	Orphans	Genome	NUC
ALY_342596	ALY	SNF2	Genome	NUC
ALY_342636	ALY	ABI3VP1	Genome	NUC
ALY_342995	ALY	bZIP	Genome	NUC
ALY_343397	ALY	bZIP	Genome	NUC
ALY_343486	ALY	HB	Genome	NUC
ALY_343537	ALY	SNF2	Genome	NUC
ALY_343891	ALY	WRKY	Genome	NUC
ALY_344010	ALY	NAC	Genome	NUC
ALY_344050	ALY	ABI3VP1	Genome	NUC
ALY_344061	ALY	SET	Genome	NUC
ALY_344116	ALY	PHD	Genome	NUC
ALY_344719	ALY	C3H	Genome	NUC
ALY_344902	ALY	LOB	Genome	NUC
ALY_345050	ALY	C3H	Genome	NUC
ALY_345506	ALY	GRAS	Genome	NUC
ALY_345509	ALY	GRAS	Genome	NUC
ALY_345842	ALY	TRAF	Genome	NUC
ALY_346041	ALY	LOB	Genome	NUC
ALY_346398	ALY	BES1	Genome	NUC
ALY_346509	ALY	AUX/IAA	Genome	NUC
ALY_346639	ALY	HB	Genome	NUC
ALY_347147	ALY	C3H	Genome	NUC
ALY_347167	ALY	MYB	Genome	NUC
ALY_347204	ALY	CSD	Genome	NUC
ALY_347510	ALY	NAC	Genome	NUC
ALY_347705	ALY	MYB	Genome	NUC
ALY_347836	ALY	NAC	Genome	NUC
ALY_347878	ALY	bHLH	Genome	NUC
ALY_347883	ALY	LOB	Genome	NUC
ALY_347985	ALY	MYB	Genome	NUC
ALY_348075	ALY	bHLH	Genome	NUC
ALY_348107	ALY	GRAS	Genome	NUC
ALY_348708	ALY	TRAF	Genome	NUC
ALY_349241	ALY	ARF	Genome	NUC
ALY_349318	ALY	MYB	Genome	NUC
ALY_349389	ALY	HSF	Genome	NUC
ALY_349486	ALY	MYB	Genome	NUC
ALY_349549	ALY	Orphans	Genome	NUC
ALY_349604	ALY	MED7	Genome	NUC
ALY_349656	ALY	C2H2	Genome	NUC
ALY_349845	ALY	HB	Genome	NUC
ALY_350640	ALY	Orphans	Genome	NUC
ALY_350641	ALY	Orphans	Genome	NUC
ALY_350644	ALY	LOB	Genome	NUC
ALY_350793	ALY	GNAT	Genome	NUC
ALY_350906	ALY	ABI3VP1	Genome	NUC
ALY_351139	ALY	SNF2	Genome	NUC
ALY_351206	ALY	EIL	Genome	NUC
ALY_351250	ALY	OFP	Genome	NUC
ALY_351368	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_351629	ALY	WRKY	Genome	NUC
ALY_351649	ALY	AUX/IAA	Genome	NUC
ALY_351768	ALY	CSD	Genome	NUC
ALY_352012	ALY	MYB-related	Genome	NUC
ALY_352378	ALY	G2-like	Genome	NUC
ALY_352380	ALY	G2-like	Genome	NUC
ALY_352566	ALY	C2H2	Genome	NUC
ALY_352687	ALY	NAC	Genome	NUC
ALY_352841	ALY	RWP-RK	Genome	NUC
ALY_353119	ALY	bHLH	Genome	NUC
ALY_353481	ALY	MYB	Genome	NUC
ALY_353664	ALY	ABI3VP1	Genome	NUC
ALY_353697	ALY	HSF	Genome	NUC
ALY_354113	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_354188	ALY	Orphans	Genome	NUC
ALY_354228	ALY	MYB	Genome	NUC
ALY_354244	ALY	bHLH	Genome	NUC
ALY_354358	ALY	GRF	Genome	NUC
ALY_354651	ALY	bHLH	Genome	NUC
ALY_354789	ALY	MYB	Genome	NUC
ALY_355148	ALY	CAMTA	Genome	NUC
ALY_355494	ALY	ABI3VP1	Genome	NUC
ALY_355996	ALY	MYB	Genome	NUC
ALY_356189	ALY	CCAAT	Genome	NUC
ALY_356279	ALY	C2C2-GATA	Genome	NUC
ALY_356289	ALY	FHA	Genome	NUC
ALY_356449	ALY	G2-like	Genome	NUC
ALY_356484	ALY	BES1	Genome	NUC
ALY_356702	ALY	HSF	Genome	NUC
ALY_357028	ALY	Orphans	Genome	NUC
ALY_357056	ALY	TRAF	Genome	NUC
ALY_357174	ALY	ARR-B	Genome	NUC
ALY_357440	ALY	C2H2	Genome	NUC
ALY_357563	ALY	MYB-related	Genome	NUC
ALY_357630	ALY	NAC	Genome	NUC
ALY_357679	ALY	MYB	Genome	NUC
ALY_357809	ALY	MADS	Genome	NUC
ALY_358079	ALY	PHD	Genome	NUC
ALY_358097	ALY	C3H	Genome	NUC
ALY_358128	ALY	NAC	Genome	NUC
ALY_358254	ALY	MADS	Genome	NUC
ALY_358332	ALY	bHLH	Genome	NUC
ALY_358545	ALY	Trihelix	Genome	NUC
ALY_358733	ALY	bHLH	Genome	NUC
ALY_358770	ALY	AUX/IAA	Genome	NUC
ALY_358814	ALY	GNAT	Genome	NUC
ALY_358841	ALY	AP2-EREBP	Genome	NUC
ALY_358861	ALY	RWP-RK	Genome	NUC
ALY_359133	ALY	CSD	Genome	NUC
ALY_359220	ALY	Jumonji	Genome	NUC
ALY_359494	ALY	CCAAT	Genome	NUC
ALY_359579	ALY	CSD	Genome	NUC
ALY_470069	ALY	SBP	Genome	NUC
ALY_470083	ALY	SET	Genome	NUC
ALY_470147	ALY	bHLH	Genome	NUC
ALY_470149	ALY	AP2-EREBP	Genome	NUC
ALY_470177	ALY	MYB-related	Genome	NUC
ALY_470180	ALY	ABI3VP1	Genome	NUC
ALY_470218	ALY	SET	Genome	NUC
ALY_470281	ALY	bHLH	Genome	NUC
ALY_470313	ALY	BSD	Genome	NUC
ALY_470353	ALY	C3H	Genome	NUC
ALY_470357	ALY	C2H2	Genome	NUC
ALY_470374	ALY	bZIP	Genome	NUC
ALY_470383	ALY	SET	Genome	NUC
ALY_470386	ALY	AUX/IAA	Genome	NUC
ALY_470401	ALY	AUX/IAA	Genome	NUC
ALY_470436	ALY	AUX/IAA	Genome	NUC
ALY_470473	ALY	ARID	Genome	NUC
ALY_470503	ALY	SNF2	Genome	NUC
ALY_470539	ALY	PHD	Genome	NUC
ALY_470549	ALY	SNF2	Genome	NUC
ALY_470588	ALY	bHLH	Genome	NUC
ALY_470616	ALY	Orphans	Genome	NUC
ALY_470633	ALY	AP2-EREBP	Genome	NUC
ALY_470636	ALY	MYB	Genome	NUC
ALY_470713	ALY	OFP	Genome	NUC
ALY_470757	ALY	C3H	Genome	NUC
ALY_470852	ALY	C2C2-GATA	Genome	NUC
ALY_470907	ALY	C2C2-YABBY	Genome	NUC
ALY_470915	ALY	Sigma70-like	Genome	NUC
ALY_470924	ALY	SNF2	Genome	NUC
ALY_470975	ALY	CCAAT	Genome	NUC
ALY_470987	ALY	Jumonji	Genome	NUC
ALY_471048	ALY	bHLH	Genome	NUC
ALY_471072	ALY	MYB-related	Genome	NUC
ALY_471078	ALY	MYB	Genome	NUC
ALY_471134	ALY	LIM	Genome	NUC
ALY_471143	ALY	C3H	Genome	NUC
ALY_471159	ALY	Orphans	Genome	NUC
ALY_471161	ALY	C2H2	Genome	NUC
ALY_471177	ALY	bHLH	Genome	NUC
ALY_471184	ALY	bHLH	Genome	NUC
ALY_471202	ALY	BSD	Genome	NUC
ALY_471244	ALY	SNF2	Genome	NUC
ALY_471347	ALY	Jumonji	Genome	NUC
ALY_471376	ALY	NAC	Genome	NUC
ALY_471403	ALY	bHLH	Genome	NUC
ALY_471409	ALY	AP2-EREBP	Genome	NUC
ALY_471442	ALY	AP2-EREBP	Genome	NUC
ALY_471484	ALY	C2H2	Genome	NUC
ALY_471557	ALY	WRKY	Genome	NUC
ALY_471564	ALY	SET	Genome	NUC
ALY_471607	ALY	MYB	Genome	NUC
ALY_471615	ALY	PBF-2-like	Genome	NUC
ALY_471625	ALY	Alfin-like	Genome	NUC
ALY_471638	ALY	G2-like	Genome	NUC
ALY_471648	ALY	BBR/BPC	Genome	NUC
ALY_471652	ALY	zf-HD	Genome	NUC
ALY_471680	ALY	GRAS	Genome	NUC
ALY_471733	ALY	AP2-EREBP	Genome	NUC
ALY_471758	ALY	AUX/IAA	Genome	NUC
ALY_471767	ALY	MYB-related	Genome	NUC
ALY_471806	ALY	AP2-EREBP	Genome	NUC
ALY_471808	ALY	TUB	Genome	NUC
ALY_471935	ALY	MADS	Genome	NUC
ALY_471953	ALY	MYB-related	Genome	NUC
ALY_471968	ALY	CCAAT	Genome	NUC
ALY_472050	ALY	MYB-related	Genome	NUC
ALY_472077	ALY	MYB	Genome	NUC
ALY_472101	ALY	MADS	Genome	NUC
ALY_472103	ALY	RWP-RK	Genome	NUC
ALY_472107	ALY	zf-HD	Genome	NUC
ALY_472119	ALY	MYB-related	Genome	NUC
ALY_472123	ALY	MYB-related	Genome	NUC
ALY_472142	ALY	Tify	Genome	NUC
ALY_472144	ALY	AP2-EREBP	Genome	NUC
ALY_472149	ALY	Orphans	Genome	NUC
ALY_472158	ALY	BES1	Genome	NUC
ALY_472196	ALY	HB	Genome	NUC
ALY_472205	ALY	SRS	Genome	NUC
ALY_472210	ALY	ARF	Genome	NUC
ALY_472211	ALY	C3H	Genome	NUC
ALY_472297	ALY	RWP-RK	Genome	NUC
ALY_472301	ALY	HMG	Genome	NUC
ALY_472304	ALY	HMG	Genome	NUC
ALY_472327	ALY	ARID	Genome	NUC
ALY_472338	ALY	SBP	Genome	NUC
ALY_472381	ALY	GRAS	Genome	NUC
ALY_472410	ALY	MYB-related	Genome	NUC
ALY_472427	ALY	AP2-EREBP	Genome	NUC
ALY_472432	ALY	CCAAT	Genome	NUC
ALY_472454	ALY	AP2-EREBP	Genome	NUC
ALY_472503	ALY	MYB	Genome	NUC
ALY_472549	ALY	AP2-EREBP	Genome	NUC
ALY_472599	ALY	HB	Genome	NUC
ALY_472680	ALY	Orphans	Genome	NUC
ALY_472682	ALY	Orphans	Genome	NUC
ALY_472703	ALY	HB	Genome	NUC
ALY_472748	ALY	C2H2	Genome	NUC
ALY_472750	ALY	C2H2	Genome	NUC
ALY_472789	ALY	BSD	Genome	NUC
ALY_472791	ALY	bHLH	Genome	NUC
ALY_472794	ALY	GNAT	Genome	NUC
ALY_472824	ALY	AP2-EREBP	Genome	NUC
ALY_472829	ALY	C2C2-CO-like	Genome	NUC
ALY_472884	ALY	C2H2	Genome	NUC
ALY_472886	ALY	SET	Genome	NUC
ALY_472923	ALY	MADS	Genome	NUC
ALY_472928	ALY	Orphans	Genome	NUC
ALY_472939	ALY	SBP	Genome	NUC
ALY_472969	ALY	C3H	Genome	NUC
ALY_472978	ALY	C2H2	Genome	NUC
ALY_472979	ALY	bHLH	Genome	NUC
ALY_473005	ALY	C2C2-CO-like	Genome	NUC
ALY_473024	ALY	AP2-EREBP	Genome	NUC
ALY_473040	ALY	ABI3VP1	Genome	NUC
ALY_473042	ALY	C2C2-Dof	Genome	NUC
ALY_473050	ALY	AP2-EREBP	Genome	NUC
ALY_473051	ALY	AP2-EREBP	Genome	NUC
ALY_473061	ALY	HB	Genome	NUC
ALY_473072	ALY	VOZ	Genome	NUC
ALY_473241	ALY	TCP	Genome	NUC
ALY_473256	ALY	ARF	Genome	NUC
ALY_473277	ALY	HB	Genome	NUC
ALY_473278	ALY	CCAAT	Genome	NUC
ALY_473343	ALY	C2H2	Genome	NUC
ALY_473362	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_473390	ALY	GNAT	Genome	NUC
ALY_473395	ALY	IWS1	Genome	NUC
ALY_473396	ALY	bZIP	Genome	NUC
ALY_473414	ALY	G2-like	Genome	NUC
ALY_473420	ALY	HSF	Genome	NUC
ALY_473467	ALY	PHD	Genome	NUC
ALY_473471	ALY	NAC	Genome	NUC
ALY_473497	ALY	Trihelix	Genome	NUC
ALY_473504	ALY	NAC	Genome	NUC
ALY_473571	ALY	NAC	Genome	NUC
ALY_473589	ALY	FHA	Genome	NUC
ALY_473593	ALY	C2H2	Genome	NUC
ALY_473608	ALY	MYB	Genome	NUC
ALY_473652	ALY	C2H2	Genome	NUC
ALY_473654	ALY	ARF	Genome	NUC
ALY_473681	ALY	MYB	Genome	NUC
ALY_473685	ALY	TCP	Genome	NUC
ALY_473706	ALY	AP2-EREBP	Genome	NUC
ALY_473749	ALY	bZIP	Genome	NUC
ALY_473770	ALY	TUB	Genome	NUC
ALY_473775	ALY	bZIP	Genome	NUC
ALY_473823	ALY	AP2-EREBP	Genome	NUC
ALY_473850	ALY	bZIP	Genome	NUC
ALY_473862	ALY	HSF	Genome	NUC
ALY_473876	ALY	TUB	Genome	NUC
ALY_473910	ALY	C2C2-Dof	Genome	NUC
ALY_473935	ALY	MYB	Genome	NUC
ALY_473940	ALY	DBP	Genome	NUC
ALY_474053	ALY	AP2-EREBP	Genome	NUC
ALY_474061	ALY	ARR-B	Genome	NUC
ALY_474089	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_474091	ALY	G2-like	Genome	NUC
ALY_474101	ALY	bZIP	Genome	NUC
ALY_474123	ALY	MYB-related	Genome	NUC
ALY_474167	ALY	SNF2	Genome	NUC
ALY_474168	ALY	GRAS	Genome	NUC
ALY_474191	ALY	GRAS	Genome	NUC
ALY_474193	ALY	PHD	Genome	NUC
ALY_474196	ALY	AP2-EREBP	Genome	NUC
ALY_474200	ALY	AP2-EREBP	Genome	NUC
ALY_474223	ALY	CCAAT	Genome	NUC
ALY_474224	ALY	bHLH	Genome	NUC
ALY_474227	ALY	AP2-EREBP	Genome	NUC
ALY_474229	ALY	bHLH	Genome	NUC
ALY_474287	ALY	C2C2-Dof	Genome	NUC
ALY_474409	ALY	AUX/IAA	Genome	NUC
ALY_474412	ALY	NAC	Genome	NUC
ALY_474413	ALY	NAC	Genome	NUC
ALY_474435	ALY	SBP	Genome	NUC
ALY_474440	ALY	AP2-EREBP	Genome	NUC
ALY_474447	ALY	TCP	Genome	NUC
ALY_474535	ALY	Trihelix	Genome	NUC
ALY_474684	ALY	MYB	Genome	NUC
ALY_474686	ALY	CCAAT	Genome	NUC
ALY_474694	ALY	NAC	Genome	NUC
ALY_474760	ALY	CCAAT	Genome	NUC
ALY_474823	ALY	MYB	Genome	NUC
ALY_474883	ALY	C2C2-Dof	Genome	NUC
ALY_474894	ALY	RWP-RK	Genome	NUC
ALY_474912	ALY	AP2-EREBP	Genome	NUC
ALY_474924	ALY	TRAF	Genome	NUC
ALY_474956	ALY	WRKY	Genome	NUC
ALY_474973	ALY	Orphans	Genome	NUC
ALY_474990	ALY	bHLH	Genome	NUC
ALY_475045	ALY	AP2-EREBP	Genome	NUC
ALY_475053	ALY	HB	Genome	NUC
ALY_475056	ALY	bHLH	Genome	NUC
ALY_475082	ALY	NAC	Genome	NUC
ALY_475116	ALY	WRKY	Genome	NUC
ALY_475136	ALY	mTERF	Genome	NUC
ALY_475137	ALY	mTERF	Genome	NUC
ALY_475156	ALY	GeBP	Genome	NUC
ALY_475161	ALY	bHLH	Genome	NUC
ALY_475211	ALY	SNF2	Genome	NUC
ALY_475240	ALY	MADS	Genome	NUC
ALY_475244	ALY	MADS	Genome	NUC
ALY_475338	ALY	ARF	Genome	NUC
ALY_475358	ALY	bZIP	Genome	NUC
ALY_475419	ALY	TCP	Genome	NUC
ALY_475432	ALY	Orphans	Genome	NUC
ALY_475666	ALY	LOB	Genome	NUC
ALY_475716	ALY	C2H2	Genome	NUC
ALY_475737	ALY	Orphans	Genome	NUC
ALY_475738	ALY	GRAS	Genome	NUC
ALY_475739	ALY	MYB	Genome	NUC
ALY_475744	ALY	GeBP	Genome	NUC
ALY_475777	ALY	C3H	Genome	NUC
ALY_475906	ALY	C2H2	Genome	NUC
ALY_475908	ALY	BBR/BPC	Genome	NUC
ALY_475937	ALY	Orphans	Genome	NUC
ALY_475938	ALY	C3H	Genome	NUC
ALY_475944	ALY	bHLH	Genome	NUC
ALY_475970	ALY	LOB	Genome	NUC
ALY_475977	ALY	AP2-EREBP	Genome	NUC
ALY_475990	ALY	bZIP	Genome	NUC
ALY_475994	ALY	G2-like	Genome	NUC
ALY_476008	ALY	bHLH	Genome	NUC
